epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,148.148,1.19192,1.91434,1.37206,0.5548,0.48324,0.51554,0.30798,1.46692,2.40097,1.56377,0.000475154,0.000475154,0.000475154
2,288.1,1.23941,1.40724,1.36404,0.64582,0.61999,0.67404,0.43033,1.28015,1.37167,1.43554,0.000913809,0.000913809,0.000913809
3,426.249,1.21196,1.31336,1.35129,0.70657,0.75489,0.78545,0.54428,1.12658,1.13193,1.27123,0.00131474,0.00131474,0.00131474
4,564.584,1.17574,1.23011,1.32743,0.83418,0.77839,0.84998,0.58108,1.17935,1.00443,1.2882,0.00125923,0.00125923,0.00125923
5,702.731,1.1052,1.06965,1.26569,0.80288,0.83275,0.86079,0.61971,1.02744,0.94738,1.18736,0.00120265,0.00120265,0.00120265
6,841.002,1.04647,0.97542,1.24007,0.85875,0.85772,0.88925,0.66229,0.97279,0.78908,1.14381,0.00114606,0.00114606,0.00114606
7,978.418,1.00139,0.90784,1.20674,0.88618,0.81577,0.89671,0.66574,0.97461,0.79155,1.14885,0.00108947,0.00108947,0.00108947
8,1117.26,0.97396,0.84159,1.18956,0.9144,0.86302,0.9174,0.68909,0.97552,0.66203,1.13931,0.00103288,0.00103288,0.00103288
9,1255.34,0.94169,0.79813,1.17288,0.88677,0.89199,0.91267,0.69796,0.93303,0.67797,1.10636,0.000976293,0.000976293,0.000976293
10,1393.17,0.90718,0.72256,1.15062,0.89646,0.91985,0.92874,0.7165,0.92423,0.63192,1.13134,0.000919704,0.000919704,0.000919704
11,1530.91,0.87567,0.69986,1.13107,0.90665,0.93742,0.93529,0.73546,0.89939,0.57731,1.10145,0.000863116,0.000863116,0.000863116
12,1668.71,0.85135,0.67404,1.1154,0.91212,0.90064,0.92032,0.71305,0.90162,0.62553,1.10257,0.000806528,0.000806528,0.000806528
13,1806.17,0.8342,0.64001,1.09936,0.90964,0.90518,0.92084,0.73277,0.86488,0.58239,1.06671,0.000749939,0.000749939,0.000749939
14,1944.23,0.80336,0.60953,1.08678,0.91726,0.91971,0.94871,0.76097,0.85542,0.53319,1.06018,0.000693351,0.000693351,0.000693351
15,2082.64,0.782,0.5763,1.07725,0.93543,0.92373,0.95246,0.76912,0.83347,0.51013,1.05094,0.000636762,0.000636762,0.000636762
16,2217.86,0.6986,0.42305,1.00695,0.93306,0.89763,0.93974,0.7519,0.85454,0.57772,1.09176,0.000580174,0.000580174,0.000580174
17,2349.67,0.67113,0.40654,0.99767,0.93108,0.93525,0.95078,0.75582,0.86091,0.52335,1.09179,0.000523586,0.000523586,0.000523586
18,2482.11,0.65609,0.38237,0.99066,0.93805,0.92588,0.95314,0.76467,0.8557,0.51944,1.07594,0.000466997,0.000466997,0.000466997
19,2615.8,0.62416,0.36383,0.96838,0.93953,0.93067,0.95348,0.76571,0.85386,0.51007,1.06045,0.000410409,0.000410409,0.000410409
20,2748.06,0.59653,0.34219,0.95478,0.95783,0.93907,0.95143,0.77229,0.84335,0.48704,1.05725,0.00035382,0.00035382,0.00035382
21,2879.8,0.5748,0.32484,0.93583,0.94463,0.93369,0.94865,0.7665,0.85514,0.51148,1.06363,0.000297232,0.000297232,0.000297232
22,3011.18,0.53783,0.30725,0.91701,0.93716,0.92716,0.94425,0.77287,0.83662,0.50152,1.05275,0.000240644,0.000240644,0.000240644
23,3142.96,0.5192,0.28853,0.90743,0.95197,0.93533,0.95779,0.7893,0.82384,0.46195,1.05975,0.000184055,0.000184055,0.000184055
24,3274.46,0.48995,0.2738,0.89274,0.94395,0.94116,0.95818,0.78298,0.83228,0.47097,1.06106,0.000127467,0.000127467,0.000127467
25,3405.59,0.47279,0.25957,0.8878,0.95135,0.94339,0.95872,0.79215,0.81909,0.44964,1.0521,7.08784e-05,7.08784e-05,7.08784e-05
